Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
110,72.000000,14.513072,14.513072,1.000000,1.000002,1.000010,1.000000,1.000001,1.000001,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
111,72.000000,14.762585,14.762585,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
112,72.000000,14.815008,14.815008,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999995,1.000000,100.000000,
113,72.000000,14.933098,15.144886,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
114,72.000000,14.933098,14.933098,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
115,72.000000,14.937282,14.937282,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
116,72.000000,15.006286,15.006286,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
117,72.000000,15.297352,15.297352,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
118,72.000000,15.493638,15.493638,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
119,72.000000,15.894645,15.894645,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
120,72.000000,16.104485,16.104485,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
121,72.000000,16.246485,16.246485,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
122,72.000000,16.409853,16.409853,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
123,72.000000,16.535406,16.535406,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
124,72.000000,17.005009,17.005009,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
125,72.000000,17.465057,17.465057,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
126,72.000000,17.903553,18.105474,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
127,72.000000,17.817064,17.903553,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
128,72.000000,17.477242,17.817064,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
129,72.000000,17.205793,17.477242,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999996,0.999996,1.000000,100.000000,
